rule id,rule name,severity,file location,line no.,status,issue description,first seen time,last seen time,solution,cwe id,tool name,issue type,score
10055,CSP Wildcard Directive,Medium (High),https://erp.techcorp.com/api/v1/login,,new,Content-Security-Policy header contient une directive wildcard — permet le chargement de ressources depuis n'importe quelle origine,2025-06-01T08:00:00.000Z,2025-07-10T14:32:00.000Z,"Configurer le header Content-Security-Policy avec des sources explicites sur le serveur applicatif ERP.",693,OWASP ZAP,SECURITY_HOTSPOT,6.5
10038,CSP Header Missing,Medium (High),https://erp.techcorp.com/finance/dashboard,,new,Content Security Policy (CSP) Header absent — aucune restriction de chargement de ressources externes,2025-06-01T08:00:00.000Z,2025-07-10T14:32:00.000Z,"Ajouter le header Content-Security-Policy dans la configuration Nginx du module Finance.",693,OWASP ZAP,SECURITY_HOTSPOT,6.5
10016,HSTS Missing,Medium (Medium),https://erp.techcorp.com/hr/api/employees,,new,HTTP Strict Transport Security (HSTS) non configuré — connexion dégradable en HTTP en clair,2025-06-01T08:00:00.000Z,2025-07-10T14:32:00.000Z,"Ajouter le header Strict-Transport-Security avec max-age >= 31536000 et includeSubDomains.",319,OWASP ZAP,VULNERABILITY,5.4
40025,Proxy Disclosure,Medium (Medium),https://erp.techcorp.com/api/health,,new,Proxy intermédiaire exposé dans les headers de réponse — divulgation d'informations d'infrastructure,2025-06-01T08:00:00.000Z,2025-07-10T14:32:00.000Z,"Désactiver la méthode TRACE sur les proxies et supprimer les headers révélant l'infrastructure (Via, X-Forwarded-By).",200,OWASP ZAP,VULNERABILITY,4.3
10021,X-Content-Type-Options Missing,Low,https://erp.techcorp.com/erp/static/assets,,new,Header X-Content-Type-Options absent — risque de MIME-sniffing par le navigateur,2025-06-01T08:00:00.000Z,2025-07-10T14:32:00.000Z,"Ajouter le header X-Content-Type-Options: nosniff dans la configuration du serveur web.",116,OWASP ZAP,CODE_SMELL,3.7
10096,Timestamp Disclosure,Low,https://erp.techcorp.com/api/v1/invoices,,new,Timestamp Unix exposé dans la réponse API — fuite d'information sur le serveur,2025-06-01T08:00:00.000Z,2025-07-10T14:32:00.000Z,"Supprimer les timestamps techniques des réponses API publiques ou les convertir en format ISO 8601.",200,OWASP ZAP,CODE_SMELL,2.5
90027,Cookie Without SameSite,High,https://erp.techcorp.com/auth/sso,,new,Cookie de session JSESSIONID sans attribut SameSite — vulnérable aux attaques CSRF cross-origin,2025-06-15T09:00:00.000Z,2025-07-10T14:32:00.000Z,"Ajouter l'attribut SameSite=Strict ou SameSite=Lax sur tous les cookies de session.",1275,OWASP ZAP,VULNERABILITY,7.4
90033,Loosely Scoped Cookie,Medium (Medium),https://erp.techcorp.com/auth/sso,,new,Cookie scopé sur le domaine parent (.techcorp.com) — accessible depuis tous les sous-domaines,2025-06-15T09:00:00.000Z,2025-07-10T14:32:00.000Z,"Restreindre le domaine des cookies de session au sous-domaine applicatif erp.techcorp.com.",1275,OWASP ZAP,CODE_SMELL,4.0
10035,Strict-Transport-Security Maxage,Medium (Medium),https://erp.techcorp.com/supply/api/orders,,new,Header HSTS présent mais max-age inférieur à la recommandation (86400 vs 31536000),2025-06-20T11:00:00.000Z,2025-07-10T14:32:00.000Z,"Augmenter la valeur max-age à 31536000 secondes (1 an) et ajouter includeSubDomains.",319,OWASP ZAP,CODE_SMELL,4.3
10045,Source Code Disclosure,High,https://erp.techcorp.com/api/v1/debug/trace,,new,Endpoint de debug exposé en production — stack trace Java visible dans les réponses d'erreur 500,2025-07-01T07:00:00.000Z,2025-07-10T14:32:00.000Z,"Désactiver tous les endpoints /debug en production et configurer un gestionnaire d'erreurs générique.",209,OWASP ZAP,VULNERABILITY,7.5
